"x","y"
18,37
35,71
93,187
76,153
19,39
26,53
58,117
84,169
39,79
49,99
27,55
63,127
35,71
93,187
5,11
29,59
90,181
86,173
93,187
63,127
52,105
17,35
1,3
87,175
18,37
2,5
53,107
70,141
78,157
46,93
9,19
17,35
62,125
59,119
47,95
68,137
1,3
50,101
49,99
6,13
12,25
66,133
98,197
45,91
87,175
7,15
96,193
89,179
48,97
67,135
13,27
89,179
3,7
87,175
3,7
94,189
39,79
16,33
2,5
98,197
5,11
45,91
66,133
24,49
43,87
75,151
31,63
52,105
9,19
50,101
60,121
80,161
73,147
90,181
70,141
83,167
14,29
64,129
62,125
29,59
94,189
34,69
70,141
12,25
91,183
32,65
66,133
41,83
49,99
38,77
22,45
63,127
43,87
70,141
11,23
6,13
41,83
57,115
84,169
1,3
93,187
64,129
45,91
10,21
58,117
34,69
20,41
21,43
60,121
86,173
55,111
54,109
33,67
61,123
57,115
22,45
46,93
26,53
28,57
13,27
32,65
30,61
69,139
25,51
39,79
48,97
84,169
97,195
29,59
80,161
9,19
47,95
9,19
62,125
53,107
47,95
86,173
29,59
98,197
82,165
99,199
5,11
23,47
65,131
1,3
84,169
10,21
87,175
21,43
86,173
6,13
49,99
89,179
92,185
35,71
15,31
100,201
27,55
2,5
66,133
51,103
9,19
28,57
49,99
15,31
13,27
52,105
97,195
49,99
34,69
4,9
87,175
92,185
71,143
60,121
18,37
88,177
7,15
72,145
51,103
92,185
43,87
1,3
99,199
28,57
51,103
32,65
31,63
90,181
59,119
72,145
8,17
2,5
2,5
94,189
86,173
11,23
10,21
38,77
19,39
33,67
9,19
26,53
78,157
7,15
16,33
30,61
88,177
89,179
15,31
13,27
65,131
19,39
76,153
35,71
43,87
90,181
41,83
76,153
66,133
78,157
87,175
31,63
68,137
2,5
48,97
13,27
96,193
74,149
31,63
75,151
34,69
38,77
78,157
82,165
94,189
39,79
40,81
83,167
56,113
35,71
96,193
16,33
63,127
78,157
7,15
13,27
50,101
75,151
15,31
40,81
44,89
49,99
20,41
66,133
65,131
80,161
40,81
10,21
64,129
9,19
27,55
100,201
42,85
83,167
61,123
75,151
67,135
74,149
8,17
65,131
22,45
54,109
31,63
11,23
71,143
18,37
93,187
40,81
86,173
15,31
2,5
7,15
67,135
30,61
6,13
11,23
27,55
97,195
10,21
83,167
51,103
92,185
91,183
6,13
8,17
51,103
80,161
65,131
